long_date,Zip,permit_count
05/1/2020,60619,17
05/1/2020,60620,22
05/1/2020,60621,6
05/1/2020,60622,25
05/1/2020,60623,24
05/1/2020,60624,17
05/1/2020,60625,12
05/1/2020,60626,2
05/1/2020,60628,14
05/1/2020,60629,12
05/1/2020,60630,9
05/1/2020,60631,5
05/1/2020,60632,11
05/1/2020,60634,12
05/1/2020,60636,12
05/1/2020,60637,28
05/1/2020,60638,12
05/1/2020,60639,15
05/1/2020,60640,13
05/1/2020,60641,6
05/1/2020,60642,7
05/1/2020,60643,11
05/1/2020,60644,6
05/1/2020,60645,9
05/1/2020,60646,5
05/1/2020,60647,36
05/1/2020,60649,6
05/1/2020,60651,15
05/1/2020,60652,6
05/1/2020,60653,3
05/1/2020,60654,4
05/1/2020,60655,7
05/1/2020,60656,2
05/1/2020,60657,19
05/1/2020,60659,5
05/1/2020,60660,5
05/1/2020,60661,17
06/1/2017,60602,28
06/1/2017,60605,10
06/1/2017,60607,24
06/1/2017,60608,34
06/1/2017,60609,24
06/1/2017,60610,53
06/1/2017,60611,20
06/1/2017,60612,20
06/1/2017,60613,31
06/1/2017,60614,43
06/1/2017,60615,7
06/1/2017,60616,10
06/1/2017,60617,12
06/1/2017,60618,44
06/1/2017,60619,16
06/1/2017,60620,11
06/1/2017,60621,5
06/1/2017,60622,44
06/1/2017,60623,23
06/1/2017,60624,20
06/1/2017,60625,45
06/1/2017,60626,4
06/1/2017,60628,16
06/1/2017,60629,19
06/1/2017,60630,19
06/1/2017,60631,2
06/1/2017,60632,14
06/1/2017,60633,1
06/1/2017,60634,28
06/1/2017,60636,19
06/1/2017,60637,33
06/1/2017,60638,8
06/1/2017,60639,15
06/1/2017,60640,15
06/1/2017,60641,12
06/1/2017,60642,14
06/1/2017,60643,15
06/1/2017,60644,19
06/1/2017,60645,17
06/1/2017,60646,9
06/1/2017,60647,59
06/1/2017,60649,8
06/1/2017,60651,15
06/1/2017,60652,10
06/1/2017,60653,13
06/1/2017,60654,13
06/1/2017,60655,7
06/1/2017,60656,7
06/1/2017,60657,24
06/1/2017,60659,18
06/1/2017,60660,10
06/1/2017,60661,34
06/1/2018,60602,34
06/1/2018,60605,10
06/1/2018,60607,19
06/1/2018,60608,31
06/1/2018,60609,19
06/1/2018,60610,45
06/1/2018,60611,13
06/1/2018,60612,8
06/1/2018,60613,14
06/1/2018,60614,32
06/1/2018,60615,4
06/1/2018,60616,9
06/1/2018,60617,16
06/1/2018,60618,41
06/1/2018,60619,24
06/1/2018,60620,17
06/1/2018,60621,10
06/1/2018,60622,25
06/1/2018,60623,24
06/1/2018,60624,18
06/1/2018,60625,27
06/1/2018,60626,3
06/1/2018,60628,7
06/1/2018,60629,14
06/1/2018,60630,22
06/1/2018,60631,6
06/1/2018,60632,20
06/1/2018,60633,2
06/1/2018,60634,29
06/1/2018,60636,17
06/1/2018,60637,26
06/1/2018,60638,8
06/1/2018,60639,19
06/1/2018,60640,17
06/1/2018,60641,12
06/1/2018,60642,20
06/1/2018,60643,10
06/1/2018,60644,8
06/1/2018,60645,12
06/1/2018,60646,10
06/1/2018,60647,46
06/1/2018,60649,17
06/1/2018,60651,19
06/1/2018,60652,9
06/1/2018,60653,6
06/1/2018,60654,15
06/1/2018,60655,9
06/1/2018,60656,5
06/1/2018,60657,21
06/1/2018,60659,11
06/1/2018,60660,9
06/1/2018,60661,37
06/1/2019,60602,32
06/1/2019,60605,18
06/1/2019,60607,23
06/1/2019,60608,24
06/1/2019,60609,18
06/1/2019,60610,50
06/1/2019,60611,15
06/1/2019,60612,19
06/1/2019,60613,22
06/1/2019,60614,46
06/1/2019,60615,11
06/1/2019,60616,10
06/1/2019,60617,20
06/1/2019,60618,29
06/1/2019,60619,17
06/1/2019,60620,22
06/1/2019,60621,18
06/1/2019,60622,29
06/1/2019,60623,20
06/1/2019,60624,28
06/1/2019,60625,24
06/1/2019,60626,6
06/1/2019,60628,24
06/1/2019,60629,19
06/1/2019,60630,11
06/1/2019,60631,7
06/1/2019,60632,11
06/1/2019,60633,4
06/1/2019,60634,22
06/1/2019,60636,24
06/1/2019,60637,29
06/1/2019,60638,4
06/1/2019,60639,21
06/1/2019,60640,10
06/1/2019,60641,11
